source_url,route_category,evidence,current_status_before_fix,classification,destination,reason,expected_http_status,expected_final_url,expected_hops,in_old_sitemap,known_internal_links,close_current_replacement
https://silverstone-ai.com/index,core-legacy,legacy static site index.html (git 9fcfb1fe^),404 (undeployed pass) / varies live,REDIRECT_301,https://silverstone-ai.com/,equivalent current page exists,301,https://silverstone-ai.com/,1,no,no,yes
https://silverstone-ai.com/industries,industries-alias,prerendered alias 2026-07-07..07-14 (routes.ts industries-hub-alias; removed 318527e2),404 (undeployed pass) / varies live,REDIRECT_301,https://silverstone-ai.com/industry,equivalent current page exists,301,https://silverstone-ai.com/industry,1,no,no,yes
https://silverstone-ai.com/industries/dentists,industries-alias,sitewide internal links until 318527e2 + SPA 200 shells (home-v2/system.ts diff),404 (undeployed pass) / varies live,REDIRECT_301,https://silverstone-ai.com/industry/dentists,equivalent current page exists,301,https://silverstone-ai.com/industry/dentists,1,no,was-yes(pre-318527e2),yes
https://silverstone-ai.com/industries/ecommerce,industries-alias,sitewide internal links until 318527e2 + SPA 200 shells (home-v2/system.ts diff),404 (undeployed pass) / varies live,REDIRECT_301,https://silverstone-ai.com/industry/ecommerce,equivalent current page exists,301,https://silverstone-ai.com/industry/ecommerce,1,no,was-yes(pre-318527e2),yes
https://silverstone-ai.com/industries/estate-agents,industries-alias,sitewide internal links until 318527e2 + SPA 200 shells (home-v2/system.ts diff),404 (undeployed pass) / varies live,REDIRECT_301,https://silverstone-ai.com/industry/estate-agents,equivalent current page exists,301,https://silverstone-ai.com/industry/estate-agents,1,no,was-yes(pre-318527e2),yes
https://silverstone-ai.com/industries/fitness-coaches,industries-alias,sitewide internal links until 318527e2 + SPA 200 shells (home-v2/system.ts diff),404 (undeployed pass) / varies live,REDIRECT_301,https://silverstone-ai.com/industry/fitness-coaches,equivalent current page exists,301,https://silverstone-ai.com/industry/fitness-coaches,1,no,was-yes(pre-318527e2),yes
https://silverstone-ai.com/industries/gyms-fitness-studios,industries-alias,sitewide internal links until 318527e2 + SPA 200 shells (home-v2/system.ts diff),404 (undeployed pass) / varies live,REDIRECT_301,https://silverstone-ai.com/industry/gyms-fitness-studios,equivalent current page exists,301,https://silverstone-ai.com/industry/gyms-fitness-studios,1,no,was-yes(pre-318527e2),yes
https://silverstone-ai.com/industries/hospitality,industries-alias,sitewide internal links until 318527e2 + SPA 200 shells (home-v2/system.ts diff),404 (undeployed pass) / varies live,REDIRECT_301,https://silverstone-ai.com/industry/hospitality,equivalent current page exists,301,https://silverstone-ai.com/industry/hospitality,1,no,was-yes(pre-318527e2),yes
https://silverstone-ai.com/industries/physios-chiropractors,industries-alias,sitewide internal links until 318527e2 + SPA 200 shells (home-v2/system.ts diff),404 (undeployed pass) / varies live,REDIRECT_301,https://silverstone-ai.com/industry/physios-chiropractors,equivalent current page exists,301,https://silverstone-ai.com/industry/physios-chiropractors,1,no,was-yes(pre-318527e2),yes
https://silverstone-ai.com/industries/salons-barbers,industries-alias,sitewide internal links until 318527e2 + SPA 200 shells (home-v2/system.ts diff),404 (undeployed pass) / varies live,REDIRECT_301,https://silverstone-ai.com/industry/salons-barbers,equivalent current page exists,301,https://silverstone-ai.com/industry/salons-barbers,1,no,was-yes(pre-318527e2),yes
https://silverstone-ai.com/industries/trades,industries-alias,sitewide internal links until 318527e2 + SPA 200 shells (home-v2/system.ts diff),404 (undeployed pass) / varies live,REDIRECT_301,https://silverstone-ai.com/industry/trades,equivalent current page exists,301,https://silverstone-ai.com/industry/trades,1,no,was-yes(pre-318527e2),yes
https://silverstone-ai.com/niches/dentists,legacy-niche,legacy canonical in sitemap-niches.xml (5ee1d196) + netlify.toml 301s until 318527e2,404 (undeployed pass) / varies live,REDIRECT_301,https://silverstone-ai.com/industry/dentists,equivalent current page exists,301,https://silverstone-ai.com/industry/dentists,1,yes,no,yes
